Hero's Name,Attributes,Win Rate(All Skills),Matches Played(All Skills),Win Rate(Tournament),Matches Played(Tournament),Win Rate(Very High Level),Matches Played(Very High Level),Win Rate(High Level),Matches Played(High Level),Win Rate(Normal),Matches Played(Normal),,,,,,,
Earthshaker,Strength,50.10%,3779334,46.08%,1378,49.96%,"566,823",50.08%,"430,263",51.09%,"763,062",,,,,,,
Dark Seer,Intelligence,49.99%,210870,43.56%,101,48.49%,"22,038",49.25%,"17,436",50.09%,"66,651",,,,,,,
Invoker,Intelligence,49.85%,4461745,53.04%,1382,51.49%,"671,894",50.86%,"528,223",48.51%,"875,645",,,,,,,
Elder Titan,Strength,49.84%,239199,45.54%,202,48.53%,"30,408",49.34%,"21,752",49.91%,"63,308",,,,,,,
Slark,Agility,49.82%,3358770,49.44%,1080,48.73%,"482,378",48.81%,"353,792",50.77%,"621,198",,,,,,,
Legion Commander,Strength,49.78%,3303162,49.72%,1410,49.08%,"399,311",49.02%,"293,902",50.20%,"723,374",,,,,,,
Enigma,Intelligence,49.67%,446837,54.82%,197,49.70%,"46,617",49.68%,"40,540",50.28%,"132,002",,,,,,,
Slardar,Strength,49.59%,1467106,47.68%,690,49.85%,"176,869",49.48%,"136,300",50.44%,"347,532",,,,,,,
Chen,Intelligence,49.57%,126061,64.16%,413,53.65%,"35,161",50.48%,"13,460",48.16%,"33,464",,,,,,,
Bristleback,Strength,49.47%,2289800,40.68%,821,46.44%,"190,708",47.38%,"169,955",50.61%,"546,828",,,,,,,
Lifestealer,Strength,49.42%,1895701,47.29%,1493,49.48%,"355,996",50.21%,"225,785",48.70%,"308,972",,,,,,,
Anti-Mage,Agility,49.42%,1963800,48.17%,328,49.67%,"215,773",50.13%,"190,261",48.77%,"415,421",,,,,,,
Broodmother,Agility,49.41%,349678,63.06%,333,52.07%,"67,184",51.32%,"37,512",44.29%,"81,106",,,,,,,
Witch Doctor,Intelligence,49.40%,2084826,42.26%,620,48.31%,"208,256",49.02%,"188,140",50.54%,"331,215",,,,,,,
Dark Willow,Intelligence,49.28%,931703,52.08%,530,49.74%,"145,473",49.82%,"103,227",49.10%,"181,148",,,,,,,
Arc Warden,Agility,49.17%,372920,43.92%,189,50.54%,"70,686",50.48%,"44,778",47.86%,"87,155",,,,,,,
Spirit Breaker,Strength,49.07%,1430282,48.12%,453,48.91%,"130,889",48.82%,"108,225",48.81%,"367,442",,,,,,,
Beastmaster,Strength,49.04%,203369,60.17%,477,51.16%,"54,962",49.59%,"24,774",46.68%,"46,787",,,,,,,
Necrophos,Intelligence,48.96%,1333731,46.02%,452,48.59%,"135,033",48.46%,"122,423",49.74%,"305,876",,,,,,,
Brewmaster,Strength,48.91%,207770,51.02%,196,48.48%,"42,405",49.43%,"23,695",48.31%,"52,875",,,,,,,
Huskar,Strength,48.90%,964152,50.00%,346,53.00%,"110,220",51.43%,"76,535",47.30%,"270,704",,,,,,,
Techies,Intelligence,48.80%,1401221,49.79%,235,47.31%,"139,563",47.68%,"126,887",49.02%,"422,618",,,,,,,
Lich,Intelligence,48.79%,1093377,44.80%,1076,48.64%,"168,627",48.65%,"111,268",49.70%,"207,783",,,,,,,
Dragon Knight,Strength,48.50%,853159,43.89%,303,46.46%,"62,083",47.38%,"60,396",48.99%,"222,727",,,,,,,
Pangolier,Agility,48.48%,1140664,47.56%,595,48.41%,"257,774",48.57%,"157,915",48.73%,"236,448",,,,,,,
Winter Wyvem,Intelligence,48.48%,644568,46.15%,650,49.86%,"114,820",49.33%,"70,984",48.82%,"126,386",,,,,,,
Lion,Intelligence,48.44%,5525691,39.46%,930,48.06%,"590,491",48.21%,"533,654",49.44%,"916,696",,,,,,,
Monkey King,Agility,48.34%,2457000,51.11%,855,48.70%,"341,742",48.82%,"254,823",48.35%,"540,699",,,,,,,
Gyrocopter,Agility,48.31%,1547253,52.18%,2319,47.91%,"318,666",48.08%,"193,625",49.89%,"285,300",,,,,,,
Centaur Warrunner,Strength,48.07%,680141,47.36%,1195,48.24%,"114,636",48.36%,"77,383",48.54%,"138,331",,,,,,,
Bane,Intelligence,48.04%,413108,52.81%,623,51.50%,"87,016",49.67%,"45,528",47.44%,"84,955",,,,,,,
Kunkka,Strength,47.65%,2378392,52.83%,1889,48.30%,"380,837",48.02%,"266,779",48.13%,"469,377",,,,,,,
Enchantress,Intelligence,47.48%,614692,44.64%,224,48.00%,"49,894",48.06%,"40,876",48.30%,"193,525",,,,,,,
Juggernaut,Agility,47.36%,3191493,45.86%,1378,47.14%,"423,891",47.65%,"335,295",47.27%,"628,353",,,,,,,
Storm Spirit,Intelligence,47.26%,1625271,45.97%,633,47.80%,"236,617",47.93%,"177,829",47.69%,"332,770",,,,,,,
Pugna,Intelligence,47.16%,823112,53.50%,701,48.73%,"147,625",47.68%,"92,662",46.66%,"189,835",,,,,,,
Templar Assassin,Agility,47.11%,767218,55.12%,782,50.82%,"132,221",48.99%,"79,085",45.85%,"183,334",,,,,,,
Timbersaw,Strength,47.10%,992159,51.78%,676,48.71%,"152,352",47.72%,"106,911",46.71%,"217,004",,,,,,,
Nyx Assassin,Agility,46.92%,446426,46.52%,187,47.43%,"68,773",47.58%,"51,611",47.61%,"127,740",,,,,,,
Outworld Devourer,Intelligence,46.75%,1100351,51.93%,1138,48.37%,"291,158",47.30%,"146,216",46.31%,"190,743",,,,,,,
Shadow Fiend,Agility,46.71%,1633456,50.85%,352,45.54%,"201,299",45.92%,"172,331",48.26%,"478,573",,,,,,,
Sven,Strength,46.64%,987595,40.13%,309,46.26%,"86,174",46.42%,"77,385",47.56%,"265,073",,,,,,,
Sniper,Agility,46.61%,3006177,37.85%,354,44.28%,"119,794",45.09%,"153,804",46.76%,"944,395",,,,,,,
Troll Warlord,Agility,46.56%,619946,45.04%,262,44.39%,"59,245",44.98%,"44,591",47.74%,"194,991",,,,,,,
Razor,Agility,46.52%,513453,45.92%,466,48.19%,"60,922",46.86%,"42,732",46.65%,"153,745",,,,,,,
Mars,Strength,46.46%,671194,51.46%,342,46.81%,"102,237",46.80%,"73,244",47.03%,"166,324",,,,,,,
